doc_id,filename,language,document_type,validation_case,ocr_challenges,survey_no_printed,owner_name_printed,village,district
TAM_002_patta_ror_record,tamil/TAM_002_patta_ror_record.png,tamil,patta_ror_record,DUPLICATE,faded_text;stamp_overlap;text_near_border,47/2C,S. Arunkumar,Vadakku Vellur,Madurai
TAM_003_sale_deed_summary,tamil/TAM_003_sale_deed_summary.png,tamil,sale_deed_summary,AREA_MISMATCH,complex_background;handwritten_fields;mixed_language;stamp_overlap,203/4B,C. Suresh Babu,Karungal Colony,Erode
TAM_004_property_registration_extract,tamil/TAM_004_property_registration_extract.png,tamil,property_registration_extract,VALID,complex_background;faded_text;handwritten_fields;mixed_language;rotation_skew;text_near_border,339/2A,M. Karthikeyan,Karungal Colony,Madurai
TAM_005_land_transfer_record,tamil/TAM_005_land_transfer_record.png,tamil,land_transfer_record,OWNER_MISMATCH,complex_background;font_size_variation;handwritten_signature;mixed_language;poor_scan;rotation_skew,281/2B,C. Suresh Babu,Ponneri Agraharam,Tiruchirappalli
TAM_006_mutation_record,tamil/TAM_006_mutation_record.png,tamil,mutation_record,MISSING_FIELD,mixed_language;poor_scan;stamp_overlap;text_near_border,231/3A,T. Selvi Murugan,Karungal Colony,Tiruchirappalli
TEL_019_land_ownership_record,telugu/TEL_019_land_ownership_record.png,telugu,land_ownership_record,OWNER_MISMATCH,faded_text;handwritten_fields;handwritten_signature;mixed_language;noise,168/1A,Anitha Kumari V.,Peddapalli Colony,Krishna
TEL_020_patta_ror_record,telugu/TEL_020_patta_ror_record.png,telugu,patta_ror_record,VALID,handwritten_signature;stamp_overlap;text_near_border,454/3B,Naresh Reddy G.,Nallapadu,Khammam
TEL_021_sale_deed_summary,telugu/TEL_021_sale_deed_summary.png,telugu,sale_deed_summary,MISSING_FIELD,mixed_language;rotation_skew;stamp_overlap;uneven_lighting,322/2C,Chandra Sekhar M.,Ramannapet,Guntur
TEL_022_property_registration_extract,telugu/TEL_022_property_registration_extract.png,telugu,property_registration_extract,SURVEY_MISMATCH,complex_background;faded_text;font_size_variation;mixed_language,320/4A,Lakshmi Devi Ch.,Nallapadu,Nellore
TEL_023_land_transfer_record,telugu/TEL_023_land_transfer_record.png,telugu,land_transfer_record,MULTIPLE_CONFLICT,faded_text;font_size_variation;text_near_border,362/2C,Srinivasa Rao B.,Muthukur Kotha Palli,Warangal
TEL_024_mutation_record,telugu/TEL_024_mutation_record.png,telugu,mutation_record,LOW_OCR_QUALITY,faded_text;font_size_variation;handwritten_signature;mixed_language;noise;poor_scan;rotation_skew;stamp_overlap;uneven_lighting,72/1B,Sudheer Babu T.,Nallapadu,Warangal
